gRNA	HL60.final
AGAP2_p58129171	2100
AGAP3_m150784003	1925
AGAP3_p150783818	1479
AGAP3_p150783825	1523
AGAP3_p150783857	2134
AGAP3_p150783866	492
AGAP3_p150783903	1243
AGAP3_p150783915	594
AGAP3_p150783972	529
AGAP3_p150784007	1327
AGAP3_p150784015	1244
AGBL5_m27275887	487
AGBL5_m27275950	324
AGBL5_m27275975	1234
AGBL5_m27276001	588
AGBL5_m27276006	1013
AGBL5_p27275820	356
AGBL5_p27275854	776
AGBL5_p27275870	625
AGBL5_p27275876	689
AGBL5_p27275898	1690
AGFG1_m228337138	2746
AGFG1_m228337178	1247
AGFG1_m228337201	1007
AGFG1_m228337208	879
AGFG1_m228337217	573
AGFG1_m228337248	1071
AGFG1_m228337276	2485
AGFG1_p228337142	0
AGFG1_p228337168	780
AGFG1_p228337221	1131
AGL_m100327112	1842
AGL_m100327128	505
AGL_m100327135	664
AGL_m100327186	635
AGL_m100327263	650
AGL_p100327060	523
AGL_p100327074	1032
AGL_p100327114	380
AGL_p100327219	66
AGL_p100327246	320
AGPAT3_m45379563	81
AGPAT3_m45379570	303
AGPAT3_m45379578	328
AGPAT3_m45379590	2207
AGPAT3_m45379606	527
AGPAT3_p45379552	2228
AGPAT3_p45379592	476
AGPAT3_p45379613	740
AGPAT3_p45379618	699
AGPAT3_p45379648	934
AGPAT5_m6566202	307
AGPAT5_m6566212	3410
AGPAT5_m6566223	2701
AGPAT5_m6566233	4502
AGPAT5_m6566240	1383
AGPAT5_m6566254	586
AGPAT5_m6566307	369
AGPAT5_p6566182	790
AGPAT5_p6566257	1815
AGPAT5_p6566262	1506
AGTPBP1_m88296213	2269
AGTPBP1_m88296222	1909
AGTPBP1_m88307605	796
AGTPBP1_m88307687	2269
AGTPBP1_m88307696	694
AGTPBP1_p88296203	727
AGTPBP1_p88307644	435
AGTPBP1_p88307675	1441
AGTPBP1_p88307700	64
AGTPBP1_p88307705	716
AHCTF1_m247067252	672
AHCTF1_m247068844	2763
AHCTF1_m247068867	380
AHCTF1_m247068886	1328
AHCTF1_m247068945	973
AHCTF1_m247070906	553
AHCTF1_m247070995	508
AHCTF1_m247094617	858
AHCTF1_p247076572	1749
AHCTF1_p247079429	1166
AHCY_m32883210	362
AHCY_m32883247	179
AHCY_m32883267	1147
AHCY_m32883301	530
AHCY_m32883330	3863
AHCY_p32883227	1023
AHCY_p32883238	974
AHCY_p32883253	376
AHCY_p32883304	3402
AHCY_p32883309	169
AHNAK2_m105423801	2364
AHNAK2_m105423809	776
AHNAK2_m105423822	1125
AHNAK2_m105423829	890
AHNAK2_m105423836	2170
AHNAK2_m105444536	1122
AHNAK2_m105444541	1342
AHNAK2_m105444555	257
AHNAK2_p105423957	497
AHNAK2_p105423983	1549
AHNAK_m62303488	1238
AHNAK_m62303507	464
AHNAK_m62303523	238
AHNAK_m62303528	1074
AHNAK_m62303548	1143
AHNAK_m62303560	1629
AHNAK_p62303470	1397
AHNAK_p62303477	879
AHNAK_p62303510	948
AHNAK_p62303551	186
AHRR_m344006	752
AHRR_m344069	337
AHRR_m353878	0
AHRR_m353892	458
AHRR_m353898	316
AHRR_p344008	2480
AHRR_p344030	1767
AHRR_p344036	600
AHRR_p344042	1327
AHRR_p353901	1778
AHR_m17338889	1926
AHR_m17338907	6164
AHR_m17338922	46
AHR_m17349569	1890
AHR_m17349574	855
AHR_m17349599	978
AHR_p17338910	1457
AHR_p17349560	2358
AHR_p17349585	1027
AHR_p17349613	2515
AIF1_m31583902	1320
AIF1_m31584119	1073
AIF1_m31584132	2191
AIF1_m31584164	1000
AIF1_m31584175	214
AIF1_p31583885	2285
AIF1_p31583891	699
AIF1_p31584124	2100
AIF1_p31584134	674
AIF1_p31584178	316
AIFM1_m129299534	1683
AIFM1_m129299540	1546
AIFM1_m129299570	1152
AIFM1_m129299604	1501
AIFM1_m129299611	753
AIFM1_m129299616	433
AIFM1_m129299624	1589
AIFM1_p129299543	115
AIFM1_p129299555	831
AIFM1_p129299590	402
AIFM3_m21322233	840
AIFM3_m21322251	671
AIFM3_m21322256	1436
AIFM3_p21322217	1164
AIFM3_p21322241	952
AIFM3_p21327593	903
AIFM3_p21327608	1166
AIFM3_p21327615	1776
AIFM3_p21327620	1357
AIFM3_p21327632	1650
AIM2_m159038473	952
