sgRNA	Count
AVPR1A_11_4075	0
AVPR1A_11_4890	309
AVPR1A_11_815	20
AVPR1A_12_4075	250
AVPR1A_12_4890	208
AVPR1B_2_6858	32
AVPR1B_34_6858	142
AVPR1B_36_6858	96
AVPR1B_37_6858	240
AVPR1B_39_6858	76
AVPR1B_3_6858	251
AVPR1B_40_6858	289
AVPR1B_41_6858	66
AVPR1B_42_6858	132
AVPR1B_44_6858	156
AVPR1B_45_6858	411
AVPR1B_60_6858	15
AXL_0_18240	55
AXL_101_24320	74
AXL_101_30400	0
AXL_101_36480	3
AXL_102_24320	31
AXL_102_36480	256
AXL_103_36480	280
AXL_104_36480	300
AXL_107_12160	7
AXL_10_0	968
AXL_110_0	49
AXL_110_12160	87
AXL_110_30400	10
AXL_111_12160	7
AXL_111_36480	313
AXL_111_6080	18
AZU1_0_1976	0
AZU1_0_2964	75
AZU1_10_1976	137
AZU1_10_4940	222
AZU1_10_5928	79
AZU1_11_1976	230
AZU1_11_5928	159
AZU1_12_1976	69
AZU1_12_2964	112
AZU1_13_1976	226
AZU1_14_5928	60
AZU1_15_5928	71
AZU1_16_1976	116
AZU1_16_5928	25
AZU1_17_5928	53
AZU1_18_5928	629
BAD_0_0	140
BAD_104_0	2
BAD_19_0	105
BAD_20_0	66
BAD_28_0	219
BAD_2_0	34
BAD_3_0	144
BAD_47_0	24
BAD_4_0	86
BAD_5_0	34
BAD_68_0	58
BAD_82_0	0
BAD_99_0	12
BAK1_13_1098	46
BAK1_15_1098	290
BAK1_16_1098	202
BAK1_17_2196	142
BAK1_18_1098	246
BAK1_29_1098	135
BAK1_30_1098	93
BAK1_37_1098	197
BAK1_39_1098	137
BAK1_43_1098	68
BAK1_44_1098	68
BAK1_46_1098	76
BAK1_7_1098	80
BAX_10_5982	51
BAX_11_5982	242
BAX_18_5982	66
BAX_36_5982	282
BAX_3_5982	145
BAX_44_5982	161
BAX_45_5982	330
BAX_46_5982	134
BAX_47_5982	201
BAX_8_5982	443
BAX_9_5982	140
BBC3_0_0	94
BBC3_1_0	21
BBC3_25_0	344
BBC3_26_0	279
BBC3_2_0	127
BBC3_46_0	12
BBC3_47_0	1
BBC3_48_0	86
BBC3_60_0	49
BBC3_61_0	48
BBC3_62_0	46
BBC3_63_0	162
BBC3_64_0	69
BCKDK_0_1908	111
BCKDK_0_2862	99
BCKDK_0_3816	352
BCKDK_0_5724	184
BCKDK_10_0	0
BCKDK_10_1908	13
BCKDK_10_2862	14
BCKDK_10_3816	0
BCKDK_10_4770	59
BCKDK_10_5724	4
BCKDK_11_0	1
BCKDK_11_1908	125
BCKDK_11_2862	54
BCKDK_11_3816	285
BCKDK_11_4770	16
BCKDK_11_5724	55
BCL2A1_15_9048	79
BCL2A1_17_9048	70
BCL2A1_1_9048	177
BCL2A1_29_6032	464
BCL2A1_2_9048	19
BCL2A1_3_9048	35
BCL2A1_4_0	0
BCL2A1_5_9048	215
BCL2A1_6_9048	379
BCL2A1_7_9048	205
BCL2A1_8_6032	319
BCL2A1_8_9048	31
BCL2L10_0_0	17
BCL2L10_0_501	0
BCL2L10_1_0	330
BCL2L10_1_501	135
BCL2L10_2_0	101
BCL2L10_3_0	24
BCL2L10_3_501	29
BCL2L10_4_0	32
BCL2L10_5_0	102
BCL2L10_6_0	0
BCL2L10_7_0	32
BCL2L10_8_0	35
BCL2L11_106_42054	0
BCL2L11_107_42054	15
BCL2L11_108_42054	258
BCL2L11_109_42054	67
BCL2L11_110_42054	64
BCL2L11_111_42054	204
BCL2L11_112_42054	30
BCL2L11_24_42054	58
BCL2L11_25_42054	23
BCL2L11_27_42054	318
BCL2L11_28_42054	212
BCL2L11_29_42054	92
BCL2L12_15_7152	60
BCL2L12_32_3576	32
BCL2L12_32_4768	203
BCL2L12_33_3576	272
BCL2L12_34_3576	149
BCL2L12_35_3576	347
BCL2L12_36_3576	136
BCL2L12_37_3576	223
BCL2L12_38_3576	294
BCL2L12_38_7152	179
BCL2L12_39_7152	204
BCL2L12_42_4768	360
BCL2L12_8_4768	41
BCL2L13_10_87228	114
BCL2L13_113_72690	96
BCL2L13_115_72690	159
BCL2L13_117_72690	20
BCL2L13_125_72690	323
BCL2L13_126_72690	2
BCL2L13_177_87228	187
BCL2L13_180_87228	487
BCL2L13_23_87228	23
BCL2L13_27_87228	36
BCL2L13_28_87228	75
BCL2L13_29_87228	28
BCL2L13_9_87228	220
BCL2L14_123_46068	31
BCL2L14_124_46068	2
BCL2L14_125_46068	88
BCL2L14_127_46068	1
BCL2L14_128_46068	79
BCL2L14_129_46068	2
BCL2L14_351_46068	3
BCL2L14_352_46068	0
BCL2L14_353_46068	0
BCL2L14_354_46068	80
BCL2L14_355_46068	54
BCL2L14_356_46068	124
BCL2L14_358_46068	271
BCL2L1_123_0	17
BCL2L1_129_0	155
BCL2L1_14_0	35
BCL2L1_161_0	35
BCL2L1_163_0	54
BCL2L1_164_0	44
BCL2L1_165_0	70
BCL2L1_1_0	39
BCL2L1_2_0	24
BCL2L1_326_0	388
BCL2L1_329_0	12
BCL2L1_3_0	59
BCL2L1_94_0	189
BCL2L2_16_7408	68
BCL2L2_19_7408	64
BCL2L2_21_7408	34
BCL2L2_22_7408	172
BCL2L2_28_3704	119
BCL2L2_30_5556	100
BCL2L2_33_5556	13
BCL2L2_39_3704	328
BCL2L2_55_7408	25
BCL2L2_56_3704	241
BCL2L2_72_7408	65
BCL2L2_73_7408	12
BCL2L2_81_7408	0
BCL2_265_0	199
BCL2_270_0	198
BCL2_273_0	55
BCL2_275_0	105
BCL2_276_0	124
BCL2_280_0	194
BCL2_285_0	289
BCL2_633_0	9
BCL2_636_0	150
BCL2_637_0	116
BCL2_640_0	129
BCL2_662_0	59
BCL2_663_0	41
BCL3_17_7048	98
BCL3_39_3524	475
BCL3_3_8810	58
BCL3_49_0	11
BCL3_49_3524	157
BCL3_51_3524	76
BCL3_54_0	173
BCL3_55_10572	130
BCL3_77_10572	59
BCL3_78_0	206
BCL3_90_10572	74
BCL6B_13_5190	16
BCL6B_15_5190	64
BCL6B_16_5190	57
BCL6B_18_5190	47
BCL6B_19_5190	349
BCL6B_1_5190	34
BCL6B_21_5190	31
BCL6B_25_4152	254
BCL6B_25_5190	0
BCL6B_26_5190	0
BCL6B_33_4152	191
BCL6B_4_5190	45
BCL6B_5_5190	0
BCL6_22_10434	17
BCL6_23_10434	111
BCL6_24_10434	18
BCL6_50_13912	64
BCL6_51_13912	80
BCL6_52_13912	73
BCL6_53_13912	21
BCL6_54_13912	49
BCL6_55_13912	32
BCL6_56_10434	13
BCL6_56_13912	15
BCL6_6_13912	0
BCL6_8_13912	253
